date,day_of_week,meal_session,registered_strength,event_type,actual_attendance,food_prepared_kg,food_consumed_kg,plate_waste_kg,surplus_leftover_kg,economic_loss_inr
2026-05-18,0,Dinner,800,None,631,330.3,272.5,15.7,42.1,3179.0
2026-05-19,1,Breakfast,800,Exam Period,440,263.6,143.7,10.0,109.9,6594.5
2026-05-19,1,Lunch,800,Exam Period,671,376.0,321.1,17.3,37.6,3019.5
2026-05-19,1,Snacks,800,Exam Period,342,184.5,81.1,5.8,97.6,5687.0
2026-05-19,1,Dinner,800,Exam Period,677,335.2,289.4,13.8,32.0,2519.0
2026-05-20,2,Breakfast,800,None,454,259.3,149.4,7.0,102.9,6044.5
2026-05-20,2,Lunch,800,None,745,369.0,356.3,26.8,0.0,1474.0
2026-05-20,2,Snacks,800,None,406,180.5,96.4,5.1,79.0,4625.5
2026-05-20,2,Dinner,800,None,673,330.8,287.4,14.9,28.5,2387.0
2026-05-21,3,Breakfast,800,None,466,253.4,151.7,11.9,89.8,5593.5
2026-05-21,3,Lunch,800,None,698,372.5,321.4,19.3,31.8,2810.5
2026-05-21,3,Snacks,800,None,381,191.0,88.7,5.4,96.9,5626.5
2026-05-21,3,Dinner,800,None,624,332.1,266.9,12.7,52.5,3586.0
2026-05-22,4,Breakfast,800,None,438,255.5,141.5,10.0,104.0,6270.0
2026-05-22,4,Lunch,800,None,624,361.0,298.5,17.6,44.9,3437.5
2026-05-22,4,Snacks,800,None,256,190.0,61.1,2.5,126.4,7089.5
2026-05-22,4,Dinner,800,None,536,335.7,223.9,16.4,95.4,6149.0
2026-05-23,5,Breakfast,800,None,409,261.1,134.6,8.7,117.8,6957.5
2026-05-23,5,Lunch,800,None,522,362.5,249.8,10.8,101.9,6198.5
2026-05-23,5,Snacks,800,None,265,190.5,61.7,4.4,124.4,7084.0
2026-05-23,5,Dinner,800,None,461,326.2,196.0,9.3,120.9,7161.0
2026-05-24,6,Breakfast,800,None,391,254.8,130.0,9.0,115.8,6864.0
2026-05-24,6,Lunch,800,None,567,363.5,263.4,20.2,79.9,5505.5
2026-05-24,6,Snacks,800,None,277,187.5,66.4,3.8,117.3,6660.5
2026-05-24,6,Dinner,800,None,515,338.9,218.8,17.0,103.1,6605.5
2026-05-25,0,Breakfast,800,None,441,256.9,145.3,11.4,100.2,6138.0
2026-05-25,0,Lunch,800,None,705,379.5,338.2,26.5,14.8,2271.5
2026-05-25,0,Snacks,800,None,353,190.8,82.3,6.2,102.3,5967.5
2026-05-25,0,Dinner,800,None,619,325.4,265.1,10.8,49.5,3316.5
2026-05-26,1,Breakfast,800,None,558,254.1,186.2,11.8,56.1,3734.5
2026-05-26,1,Lunch,800,None,724,374.0,346.2,25.4,2.4,1529.0
2026-05-26,1,Snacks,800,None,420,188.0,97.1,5.3,85.6,4999.5
2026-05-26,1,Dinner,800,None,707,328.5,302.4,20.4,5.7,1435.5
2026-05-27,2,Breakfast,800,None,461,263.6,149.4,10.7,103.5,6281.0
2026-05-27,2,Lunch,800,None,645,365.5,301.7,23.5,40.3,3509.0
2026-05-27,2,Snacks,800,None,417,184.8,98.6,5.9,80.3,4741.0
2026-05-27,2,Dinner,800,None,643,330.8,267.6,20.1,43.1,3476.0
2026-05-28,3,Breakfast,800,None,461,261.8,151.4,6.4,104.0,6072.0
2026-05-28,3,Lunch,800,None,672,364.0,311.6,18.7,33.7,2882.0
2026-05-28,3,Snacks,800,None,433,184.0,100.1,7.4,76.5,4614.5
2026-05-28,3,Dinner,800,None,728,335.7,308.4,17.0,10.3,1501.5
2026-05-29,4,Breakfast,800,None,452,260.4,148.0,8.7,103.7,6182.0
2026-05-29,4,Lunch,800,None,619,380.5,290.5,12.1,77.9,4950.0
2026-05-29,4,Snacks,800,None,365,191.2,86.8,5.2,99.2,5742.0
2026-05-29,4,Dinner,800,None,604,336.2,258.6,12.7,64.9,4268.0
2026-05-30,5,Breakfast,800,None,376,267.4,121.5,5.6,140.3,8024.5
2026-05-30,5,Lunch,800,None,498,366.5,231.3,14.8,120.4,7436.0
2026-05-30,5,Snacks,800,None,276,190.2,64.9,4.6,120.7,6891.5
2026-05-30,5,Dinner,800,None,547,329.4,232.1,10.2,87.1,5351.5
2026-05-31,6,Breakfast,800,Holiday/Long Weekend,229,266.0,75.1,3.6,187.3,10499.5
2026-05-31,6,Lunch,800,Holiday/Long Weekend,328,361.5,152.4,6.8,202.3,11500.5
2026-05-31,6,Snacks,800,Holiday/Long Weekend,200,183.5,46.8,2.0,134.7,7518.5
2026-05-31,6,Dinner,800,Holiday/Long Weekend,320,326.7,137.4,7.7,181.6,10411.5
2026-06-01,0,Breakfast,800,None,532,263.6,173.0,10.1,80.5,4983.0
2026-06-01,0,Lunch,800,None,641,362.0,295.1,22.9,44.0,3679.5
2026-06-01,0,Snacks,800,None,407,183.8,97.0,7.0,79.8,4774.0
2026-06-01,0,Dinner,800,None,636,340.7,273.8,12.1,54.8,3679.5
2026-06-02,1,Breakfast,800,None,470,259.3,155.7,9.9,93.7,5698.0
2026-06-02,1,Lunch,800,None,729,368.0,349.1,20.8,0.0,1144.0
2026-06-02,1,Snacks,800,None,421,181.0,100.3,7.8,72.9,4438.5
2026-06-02,1,Dinner,800,None,631,344.7,271.9,13.9,58.9,4004.0
2026-06-03,2,Breakfast,800,None,481,266.3,160.4,12.1,93.8,5824.5
2026-06-03,2,Lunch,800,None,749,370.5,348.6,26.2,0.0,1441.0
2026-06-03,2,Snacks,800,None,309,190.2,73.0,5.7,111.5,6446.0
2026-06-03,2,Dinner,800,None,634,345.6,267.3,21.1,57.2,4306.5
2026-06-04,3,Breakfast,800,Exam Period,549,256.6,183.1,7.4,66.1,4042.5
2026-06-04,3,Lunch,800,Exam Period,705,366.5,328.0,15.5,23.0,2117.5
2026-06-04,3,Snacks,800,Exam Period,316,181.2,74.1,4.8,102.3,5890.5
2026-06-04,3,Dinner,800,Exam Period,619,332.6,257.4,17.1,58.1,4136.0
2026-06-05,4,Breakfast,800,None,414,260.1,134.5,5.5,120.1,6908.0
2026-06-05,4,Lunch,800,None,621,368.5,288.8,15.6,64.1,4383.5
2026-06-05,4,Snacks,800,None,302,190.5,71.5,4.4,114.6,6545.0
2026-06-05,4,Dinner,800,None,644,326.7,275.3,14.7,36.7,2827.0
2026-06-06,5,Breakfast,800,None,410,260.8,133.0,10.3,117.5,7029.0
2026-06-06,5,Lunch,800,None,569,382.5,266.9,20.3,95.3,6358.0
2026-06-06,5,Snacks,800,None,241,185.2,57.8,4.6,122.8,7007.0
2026-06-06,5,Dinner,800,None,464,336.6,196.8,13.7,126.1,7689.0
2026-06-07,6,Breakfast,800,None,404,253.7,131.9,6.3,115.5,6699.0
2026-06-07,6,Lunch,800,None,554,367.0,258.8,12.3,95.9,5951.0
2026-06-07,6,Snacks,800,None,260,183.2,61.3,4.8,117.1,6704.5
2026-06-07,6,Dinner,800,None,542,334.4,233.6,10.7,90.1,5544.0
2026-06-08,0,Breakfast,800,None,523,267.1,168.7,10.8,87.6,5412.0
2026-06-08,0,Lunch,800,None,710,372.5,334.7,17.9,19.9,2079.0
2026-06-08,0,Snacks,800,None,348,186.2,82.2,3.8,100.2,5720.0
2026-06-08,0,Dinner,800,None,695,330.3,297.7,20.8,11.8,1793.0
2026-06-09,1,Breakfast,800,Exam Period,468,259.7,151.7,12.0,96.0,5940.0
2026-06-09,1,Lunch,800,Exam Period,698,361.0,328.2,14.4,18.4,1804.0
2026-06-09,1,Snacks,800,Exam Period,407,184.2,96.3,6.6,81.3,4834.5
2026-06-09,1,Dinner,800,Exam Period,619,342.0,259.1,20.5,62.4,4559.5
2026-06-10,2,Breakfast,800,None,523,255.1,171.7,8.5,74.9,4587.0
2026-06-10,2,Lunch,800,None,694,370.0,324.6,19.9,25.5,2497.0
2026-06-10,2,Snacks,800,None,407,189.0,96.4,6.5,86.1,5093.0
2026-06-10,2,Dinner,800,None,713,324.4,297.4,14.4,12.6,1485.0
2026-06-11,3,Breakfast,800,None,514,261.1,165.8,11.9,83.4,5241.5
2026-06-11,3,Lunch,800,None,713,363.0,339.4,19.4,4.2,1298.0
2026-06-11,3,Snacks,800,None,307,187.8,71.7,3.2,112.9,6385.5
2026-06-11,3,Dinner,800,None,676,328.9,286.4,21.3,21.2,2337.5
2026-06-12,4,Breakfast,800,None,433,254.1,141.3,10.5,102.3,6204.0
2026-06-12,4,Lunch,800,None,585,369.0,270.2,17.1,81.7,5434.0
2026-06-12,4,Snacks,800,None,318,191.0,74.5,5.2,111.3,6407.5
2026-06-12,4,Dinner,800,None,545,342.4,233.9,13.4,95.1,5967.5
2026-06-13,5,Breakfast,800,None,331,268.4,110.6,5.6,152.2,8679.0
2026-06-13,5,Lunch,800,None,512,366.5,237.6,15.9,113.0,7089.5
2026-06-13,5,Snacks,800,None,260,187.0,60.7,2.9,123.4,6946.5
2026-06-13,5,Dinner,800,None,545,324.0,232.6,16.9,74.5,5027.0
2026-06-14,6,Breakfast,800,None,399,264.9,128.6,7.5,128.8,7496.5
2026-06-14,6,Lunch,800,None,484,363.0,223.4,14.6,125.0,7678.0
2026-06-14,6,Snacks,800,None,296,191.5,69.0,3.2,119.3,6737.5
2026-06-14,6,Dinner,800,None,535,330.8,224.7,16.5,89.6,5835.5
2026-06-15,0,Breakfast,800,None,500,255.8,165.1,6.6,84.1,4988.5
2026-06-15,0,Lunch,800,None,680,375.0,315.5,16.6,42.9,3272.5
2026-06-15,0,Snacks,800,None,345,180.8,81.8,5.9,93.1,5445.0
2026-06-15,0,Dinner,800,None,636,336.2,271.4,16.6,48.2,3564.0
2026-06-16,1,Breakfast,800,Holiday/Long Weekend,315,267.1,103.9,7.9,155.3,8976.0
2026-06-16,1,Lunch,800,Holiday/Long Weekend,402,370.0,188.2,9.8,172.0,9999.0
2026-06-16,1,Snacks,800,Holiday/Long Weekend,261,189.8,60.8,4.6,124.4,7095.0
2026-06-16,1,Dinner,800,Holiday/Long Weekend,373,330.3,156.3,9.5,164.5,9570.0
2026-06-17,2,Breakfast,800,None,457,267.1,151.5,7.5,108.1,6358.0
2026-06-17,2,Lunch,800,None,693,368.5,330.3,20.0,18.2,2101.0
2026-06-17,2,Snacks,800,None,350,186.0,80.6,5.9,99.5,5797.0
2026-06-17,2,Dinner,800,None,633,337.1,266.9,21.1,49.1,3861.0
2026-06-18,3,Breakfast,800,None,452,254.1,148.5,9.7,95.9,5808.0
2026-06-18,3,Lunch,800,None,705,383.5,328.8,16.1,38.6,3008.5
2026-06-18,3,Snacks,800,None,323,184.2,76.1,4.3,103.8,5945.5
2026-06-18,3,Dinner,800,None,680,328.5,289.6,13.0,25.9,2139.5
2026-06-19,4,Breakfast,800,None,458,258.6,152.1,9.0,97.5,5857.5
2026-06-19,4,Lunch,800,None,572,381.0,272.2,20.1,88.7,5984.0
2026-06-19,4,Snacks,800,None,251,188.5,59.3,4.1,125.1,7106.0
2026-06-19,4,Dinner,800,None,607,337.1,253.1,12.8,71.2,4620.0
2026-06-20,5,Breakfast,800,None,357,256.2,115.6,6.4,134.2,7733.0
2026-06-20,5,Lunch,800,None,534,367.0,247.0,11.1,108.9,6600.0
2026-06-20,5,Snacks,800,None,316,184.0,73.1,5.8,105.1,6099.5
2026-06-20,5,Dinner,800,None,502,325.8,210.6,13.1,102.1,6336.0
2026-06-21,6,Breakfast,800,None,417,253.0,137.2,7.3,108.5,6369.0
2026-06-21,6,Lunch,800,None,547,367.0,261.3,19.8,85.9,5813.5
2026-06-21,6,Snacks,800,None,280,182.2,66.5,4.5,111.2,6363.5
2026-06-21,6,Dinner,800,None,543,337.1,232.4,14.1,90.6,5758.5
2026-06-22,0,Breakfast,800,None,544,256.2,178.7,12.2,65.3,4262.5
2026-06-22,0,Lunch,800,None,703,377.5,329.0,21.9,26.6,2667.5
2026-06-22,0,Snacks,800,None,286,185.8,66.2,4.5,115.1,6578.0
2026-06-22,0,Dinner,800,None,715,332.1,300.6,20.4,11.1,1732.5
2026-06-23,1,Breakfast,800,None,526,262.1,172.0,7.5,82.6,4955.5
2026-06-23,1,Lunch,800,None,701,365.0,322.6,24.1,18.3,2332.0
2026-06-23,1,Snacks,800,None,379,184.2,87.5,5.9,90.8,5318.5
2026-06-23,1,Dinner,800,None,688,344.2,287.7,20.6,35.9,3107.5
2026-06-24,2,Breakfast,800,None,558,259.7,180.9,11.7,67.1,4334.0
2026-06-24,2,Lunch,800,None,696,371.0,323.6,25.6,21.8,2607.0
2026-06-24,2,Snacks,800,None,381,182.5,91.4,5.9,85.2,5010.5
2026-06-24,2,Dinner,800,None,677,335.2,290.1,17.5,27.6,2480.5
2026-06-25,3,Breakfast,800,None,457,258.3,152.6,6.4,99.3,5813.5
2026-06-25,3,Lunch,800,None,736,379.5,340.1,14.3,25.1,2167.0
2026-06-25,3,Snacks,800,None,337,191.5,78.1,6.1,107.3,6237.0
2026-06-25,3,Dinner,800,None,628,331.2,260.2,20.8,50.2,3905.0
2026-06-26,4,Breakfast,800,None,447,263.9,145.5,6.3,112.1,6512.0
2026-06-26,4,Lunch,800,None,639,379.5,306.5,14.1,58.9,4015.0
2026-06-26,4,Snacks,800,None,258,188.2,60.1,4.8,123.3,7045.5
2026-06-26,4,Dinner,800,None,583,336.2,246.3,13.4,76.5,4944.5
2026-06-27,5,Breakfast,800,None,393,257.9,128.9,9.0,120.0,7095.0
2026-06-27,5,Lunch,800,None,536,381.5,247.3,16.8,117.4,7381.0
2026-06-27,5,Snacks,800,None,323,182.8,76.4,3.7,102.7,5852.0
2026-06-27,5,Dinner,800,None,547,330.3,230.5,18.1,81.7,5489.0
2026-06-28,6,Breakfast,800,None,359,256.9,118.5,9.4,129.0,7612.0
2026-06-28,6,Lunch,800,None,530,374.0,247.9,19.7,106.4,6935.5
2026-06-28,6,Snacks,800,None,318,188.8,73.8,5.1,109.9,6325.0
2026-06-28,6,Dinner,800,None,534,329.9,228.8,17.1,84.0,5560.5
2026-06-29,0,Breakfast,800,College Festival / Celebration,543,259.3,181.3,12.3,65.7,4290.0
2026-06-29,0,Lunch,800,College Festival / Celebration,748,365.5,357.5,15.7,0.0,863.5
2026-06-29,0,Snacks,800,College Festival / Celebration,363,184.0,84.0,4.9,95.1,5500.0
2026-06-29,0,Dinner,800,College Festival / Celebration,784,338.4,327.4,14.8,0.0,814.0
2026-06-30,1,Breakfast,800,None,492,257.2,162.4,11.9,82.9,5214.0
2026-06-30,1,Lunch,800,None,732,366.0,336.9,15.6,13.5,1600.5
2026-06-30,1,Snacks,800,None,331,185.5,77.9,3.7,103.9,5918.0
2026-06-30,1,Dinner,800,None,684,327.6,288.0,13.3,26.3,2178.0
2026-07-01,2,Breakfast,800,None,506,253.4,168.1,9.4,75.9,4691.5
2026-07-01,2,Lunch,800,None,713,382.0,332.1,23.2,26.7,2744.5
2026-07-01,2,Snacks,800,None,297,183.8,70.0,4.2,109.6,6259.0
2026-07-01,2,Dinner,800,None,648,338.4,276.9,16.8,44.7,3382.5
2026-07-02,3,Breakfast,800,None,525,268.4,171.2,11.8,85.4,5346.0
2026-07-02,3,Lunch,800,None,648,369.0,305.4,16.0,47.6,3498.0
2026-07-02,3,Snacks,800,None,387,189.2,90.1,6.3,92.8,5450.5
2026-07-02,3,Dinner,800,None,718,332.1,297.5,16.8,17.8,1903.0
2026-07-03,4,Breakfast,800,None,403,268.4,130.6,8.7,129.1,7579.0
2026-07-03,4,Lunch,800,None,582,378.5,272.7,18.6,87.2,5819.0
2026-07-03,4,Snacks,800,None,275,181.0,64.1,3.6,113.3,6429.5
2026-07-03,4,Dinner,800,None,604,331.2,259.9,17.3,54.0,3921.5
2026-07-04,5,Breakfast,800,None,384,253.7,126.3,7.0,120.4,7007.0
2026-07-04,5,Lunch,800,None,567,382.0,264.7,14.2,103.1,6451.5
2026-07-04,5,Snacks,800,None,286,190.8,66.1,4.7,120.0,6858.5
2026-07-04,5,Dinner,800,None,540,331.2,229.6,13.9,87.7,5588.0
2026-07-05,6,Breakfast,800,None,359,267.1,117.2,6.0,143.9,8244.5
2026-07-05,6,Lunch,800,None,569,367.5,263.8,19.8,83.9,5703.5
2026-07-05,6,Snacks,800,None,276,184.8,65.1,4.0,115.7,6583.5
2026-07-05,6,Dinner,800,None,482,335.7,208.0,14.7,113.0,7023.5
2026-07-06,0,Breakfast,800,None,489,257.2,159.8,11.2,86.2,5357.0
2026-07-06,0,Lunch,800,None,722,382.5,337.6,22.0,22.9,2469.5
2026-07-06,0,Snacks,800,None,386,190.5,91.7,3.9,94.9,5434.0
2026-07-06,0,Dinner,800,None,733,326.7,308.7,17.9,0.1,990.0
2026-07-07,1,Breakfast,800,None,502,267.4,162.3,10.2,94.9,5780.5
2026-07-07,1,Lunch,800,None,655,374.5,309.2,23.5,41.8,3591.5
2026-07-07,1,Snacks,800,None,419,180.8,97.7,7.3,75.8,4570.5
2026-07-07,1,Dinner,800,None,686,325.8,284.3,15.2,26.3,2282.5
2026-07-08,2,Breakfast,800,None,488,257.2,158.8,6.6,91.8,5412.0
2026-07-08,2,Lunch,800,None,668,361.0,309.8,22.3,28.9,2816.0
2026-07-08,2,Snacks,800,None,363,185.8,84.1,5.1,96.6,5593.5
2026-07-08,2,Dinner,800,None,612,343.8,261.9,13.6,68.3,4504.5
2026-07-09,3,Breakfast,800,None,499,268.8,167.6,8.6,92.6,5566.0
2026-07-09,3,Lunch,800,None,725,364.0,347.3,14.0,2.7,918.5
2026-07-09,3,Snacks,800,None,342,185.2,79.4,5.0,100.8,5819.0
2026-07-09,3,Dinner,800,None,672,333.4,286.7,12.6,34.1,2568.5
2026-07-10,4,Breakfast,800,None,469,264.9,151.7,10.5,102.7,6226.0
2026-07-10,4,Lunch,800,None,621,365.5,291.5,16.0,58.0,4070.0
2026-07-10,4,Snacks,800,None,317,188.0,75.2,5.4,107.4,6204.0
2026-07-10,4,Dinner,800,None,629,333.9,266.9,12.1,54.9,3685.0
2026-07-11,5,Breakfast,800,None,347,258.3,114.3,5.8,138.2,7920.0
2026-07-11,5,Lunch,800,None,483,367.0,225.5,13.4,128.1,7782.5
2026-07-11,5,Snacks,800,None,325,183.8,76.1,5.2,102.5,5923.5
2026-07-11,5,Dinner,800,None,476,326.7,200.9,13.3,112.5,6919.0
2026-07-12,6,Breakfast,800,None,340,267.8,110.8,7.5,149.5,8635.0
2026-07-12,6,Lunch,800,None,539,375.5,251.7,15.9,107.9,6809.0
2026-07-12,6,Snacks,800,None,308,182.2,71.3,3.0,107.9,6099.5
2026-07-12,6,Dinner,800,None,469,342.0,196.0,14.6,131.4,8030.0
2026-07-13,0,Breakfast,800,None,502,259.0,167.1,12.0,79.9,5054.5
2026-07-13,0,Lunch,800,None,726,380.5,336.8,22.3,21.4,2403.5
2026-07-13,0,Snacks,800,None,346,183.8,82.9,4.9,96.0,5549.5
2026-07-13,0,Dinner,800,None,637,335.2,269.1,18.7,47.4,3635.5
2026-07-14,1,Breakfast,800,None,461,268.4,153.9,7.7,106.8,6297.5
2026-07-14,1,Lunch,800,None,742,365.5,347.6,26.5,0.0,1457.5
2026-07-14,1,Snacks,800,None,327,182.0,76.3,5.5,100.2,5813.5
2026-07-14,1,Dinner,800,None,671,330.3,282.9,13.0,34.4,2607.0
2026-07-15,2,Breakfast,800,None,502,256.6,168.2,7.4,81.0,4862.0
2026-07-15,2,Lunch,800,None,653,366.0,307.6,22.9,35.5,3212.0
2026-07-15,2,Snacks,800,None,432,180.8,100.8,5.5,74.5,4400.0
2026-07-15,2,Dinner,800,None,707,326.7,297.4,13.7,15.6,1611.5
2026-07-16,3,Breakfast,800,None,462,255.8,149.1,9.1,97.6,5868.5
2026-07-16,3,Lunch,800,None,726,369.0,345.9,16.8,6.3,1270.5
2026-07-16,3,Snacks,800,None,303,184.0,71.8,2.9,109.3,6171.0
2026-07-16,3,Dinner,800,None,628,338.4,266.8,14.2,57.4,3938.0
2026-07-17,4,Breakfast,800,None,425,255.5,140.9,8.3,106.3,6303.0
2026-07-17,4,Lunch,800,None,649,364.5,301.9,19.6,43.0,3443.0
2026-07-17,4,Snacks,800,None,328,190.2,78.4,4.4,107.4,6149.0
2026-07-17,4,Dinner,800,None,579,329.9,245.2,18.9,65.8,4658.5
2026-07-18,5,Breakfast,800,None,406,256.2,135.4,9.3,111.5,6644.0
2026-07-18,5,Lunch,800,None,546,374.5,253.9,18.1,102.5,6633.0
2026-07-18,5,Snacks,800,None,268,183.0,62.5,3.6,116.9,6627.5
2026-07-18,5,Dinner,800,None,505,335.7,214.6,16.6,104.5,6660.5
2026-07-19,6,Breakfast,800,Exam Period,397,262.1,133.3,6.8,122.0,7084.0
2026-07-19,6,Lunch,800,Exam Period,534,370.0,254.5,18.8,96.7,6352.5
2026-07-19,6,Snacks,800,Exam Period,254,191.5,59.8,3.8,127.9,7243.5
2026-07-19,6,Dinner,800,Exam Period,452,338.4,187.1,12.1,139.2,8321.5
2026-07-20,0,Breakfast,800,None,527,255.1,173.9,13.3,67.9,4466.0
2026-07-20,0,Lunch,800,None,697,362.0,322.8,20.7,18.5,2156.0
2026-07-20,0,Snacks,800,None,406,191.2,94.3,6.8,90.1,5329.5
2026-07-20,0,Dinner,800,None,619,340.7,264.5,20.6,55.6,4191.0
2026-07-21,1,Breakfast,800,None,488,261.8,163.0,10.3,88.5,5434.0
2026-07-21,1,Lunch,800,None,656,366.0,311.6,19.7,34.7,2992.0
2026-07-21,1,Snacks,800,None,314,185.5,73.0,3.1,109.4,6187.5
2026-07-21,1,Dinner,800,None,716,342.4,304.5,22.0,15.9,2084.5
2026-07-22,2,Breakfast,800,None,468,267.4,152.8,10.6,104.0,6303.0
2026-07-22,2,Lunch,800,None,691,376.5,324.0,19.7,32.8,2887.5
2026-07-22,2,Snacks,800,None,414,187.0,95.5,7.4,84.1,5032.5
2026-07-22,2,Dinner,800,None,680,328.9,289.0,15.0,24.9,2194.5
2026-07-23,3,Breakfast,800,None,461,266.0,153.1,11.6,101.3,6209.5
2026-07-23,3,Lunch,800,None,652,366.5,307.6,18.5,40.4,3239.5
2026-07-23,3,Snacks,800,None,367,190.8,86.7,4.6,99.5,5725.5
2026-07-23,3,Dinner,800,None,632,342.4,271.3,20.0,51.1,3910.5
2026-07-24,4,Breakfast,800,College Festival / Celebration,526,264.6,170.3,12.7,81.6,5186.5
2026-07-24,4,Lunch,800,College Festival / Celebration,718,363.5,341.6,24.8,0.0,1364.0
2026-07-24,4,Snacks,800,College Festival / Celebration,376,181.8,86.8,5.2,89.8,5225.0
2026-07-24,4,Dinner,800,College Festival / Celebration,698,324.4,295.0,12.7,16.7,1617.0
2026-07-25,5,Breakfast,800,None,357,258.6,117.9,6.8,133.9,7738.5
2026-07-25,5,Lunch,800,None,559,380.5,266.8,15.1,98.6,6253.5
2026-07-25,5,Snacks,800,None,320,189.8,75.0,5.7,109.1,6314.0
2026-07-25,5,Dinner,800,None,515,325.4,217.9,13.2,94.3,5912.5
2026-07-26,6,Breakfast,800,None,380,268.1,127.1,9.9,131.1,7755.0
2026-07-26,6,Lunch,800,None,555,372.0,260.0,15.0,97.0,6160.0
2026-07-26,6,Snacks,800,None,245,180.8,57.0,2.9,120.9,6809.0
2026-07-26,6,Dinner,800,None,518,330.3,214.6,8.6,107.1,6363.5
2026-07-27,0,Breakfast,800,None,457,267.4,147.9,6.2,113.3,6572.5
2026-07-27,0,Lunch,800,None,688,375.5,324.6,14.2,36.7,2799.5
2026-07-27,0,Snacks,800,None,438,181.8,102.6,6.3,72.9,4356.0
2026-07-27,0,Dinner,800,None,616,342.9,261.0,14.3,67.6,4504.5
2026-07-28,1,Breakfast,800,None,513,258.3,167.5,10.4,80.4,4994.0
2026-07-28,1,Lunch,800,None,687,363.5,316.3,17.2,30.0,2596.0
2026-07-28,1,Snacks,800,None,434,189.2,100.6,7.0,81.6,4873.0
2026-07-28,1,Dinner,800,None,677,326.7,286.2,22.3,18.2,2227.5
2026-07-29,2,Breakfast,800,None,453,259.3,152.2,8.3,98.8,5890.5
2026-07-29,2,Lunch,800,None,750,365.0,351.3,23.0,0.0,1265.0
2026-07-29,2,Snacks,800,None,285,188.5,67.8,4.9,115.8,6638.5
2026-07-29,2,Dinner,800,None,605,333.0,258.3,12.5,62.2,4108.5
2026-07-30,3,Breakfast,800,College Festival / Celebration,568,264.6,188.5,12.5,63.6,4185.5
2026-07-30,3,Lunch,800,College Festival / Celebration,784,380.5,362.1,28.1,0.0,1545.5
2026-07-30,3,Snacks,800,College Festival / Celebration,447,187.8,104.2,6.6,77.0,4598.0
2026-07-30,3,Dinner,800,College Festival / Celebration,751,337.1,319.6,15.8,1.7,962.5
2026-07-31,4,Breakfast,800,None,433,264.6,145.4,8.2,111.0,6556.0
2026-07-31,4,Lunch,800,None,594,376.0,284.5,13.5,78.0,5032.5
2026-07-31,4,Snacks,800,None,314,183.8,75.0,5.2,103.6,5984.0
2026-07-31,4,Dinner,800,None,597,338.9,252.0,15.1,71.8,4779.5
2026-08-01,5,Breakfast,800,None,397,258.6,133.0,9.0,116.6,6908.0
2026-08-01,5,Lunch,800,None,554,372.0,264.8,16.5,90.7,5896.0
2026-08-01,5,Snacks,800,None,298,184.2,71.3,3.3,109.6,6209.5
2026-08-01,5,Dinner,800,None,462,342.4,199.4,12.6,130.4,7865.0
2026-08-02,6,Breakfast,800,None,406,252.3,136.0,9.1,107.2,6396.5
2026-08-02,6,Lunch,800,None,481,374.0,224.9,12.2,136.9,8200.5
2026-08-02,6,Snacks,800,None,282,182.0,64.9,4.2,112.9,6440.5
2026-08-02,6,Dinner,800,None,491,328.5,210.7,8.9,108.9,6479.0
